-95431.7353223279	  inf
-19896.6943180815	7.91509e-01
-18039.0801952765	9.33630e-02
-16042.4579486730	1.10683e-01
-13485.1692742390	1.59408e-01
-10975.7722737270	1.86086e-01
-9921.3996146313	9.60636e-02
-9539.6088487154	3.84815e-02
-9344.8550637041	2.04153e-02
-9226.2707541496	1.26898e-02
-9146.4973728308	8.64633e-03
-9089.1767423618	6.26695e-03
-9046.0059158778	4.74970e-03
-9012.3250915936	3.72328e-03
-8985.3171955373	2.99677e-03
-8963.1792759708	2.46379e-03
-8944.7038858837	2.06125e-03
-8929.0521090688	1.74984e-03
-8915.6229627317	1.50398e-03
-8903.9746536001	1.30651e-03
-8893.7751560388	1.14550e-03
-8884.7701267766	1.01251e-03
-8876.7614466859	9.01394e-04
-8869.5925019383	8.07608e-04
-8863.1378582438	7.27727e-04
-8857.2958711292	6.59133e-04
-8851.9833024698	5.99796e-04
-8847.1313353723	5.48122e-04
-8842.6825813180	5.02847e-04
-8838.5888028119	4.62957e-04
-8834.8091596651	4.27630e-04
-8831.3088436213	3.96196e-04
-8828.0580046050	3.68104e-04
-8825.0308984187	3.42896e-04
-8822.2052043835	3.20191e-04
-8819.5614746838	2.99668e-04
-8817.0826866013	2.81056e-04
-8814.7538760220	2.64125e-04
-8812.5618354487	2.48679e-04
-8810.4948636723	2.34548e-04
-8808.5425567721	2.21589e-04
-8806.6956336921	2.09674e-04
-8804.9457880585	1.98695e-04
-8803.2855644211	1.88556e-04
-8801.7082514496	1.79173e-04
-8800.2077908778	1.70474e-04
-8798.7787013632	1.62393e-04
-8797.4160102120	1.54873e-04
-8796.1151960999	1.47863e-04
-8794.8721391521	1.41319e-04
-8793.6830770614	1.35199e-04
-8792.5445674678	1.29469e-04
-8791.4534544797	1.24095e-04
-8790.4068394577	1.19049e-04
-8789.4020551991	1.14305e-04
-8788.4366437606	1.09838e-04
-8787.5083356709	1.05628e-04
-8786.6150326828	1.01656e-04
-8785.7547920139	9.79035e-05
